Date,Adj Close,Close,High,Low,Open,Volume
,ADP,ADP,ADP,ADP,ADP,ADP
2025-01-02,281.0471496582031,289.6499938964844,295.1499938964844,288.54998779296875,293.8299865722656,1025300
2025-01-03,283.0265197753906,291.69000244140625,292.54998779296875,289.7900085449219,290.7300109863281,1044200
2025-01-06,278.6019287109375,287.1300048828125,290.32000732421875,285.8599853515625,289.1499938964844,1529100
2025-01-07,279.8342590332031,288.3999938964844,290.0,287.25,287.25,1451800
2025-01-08,283.22064208984375,291.8900146484375,292.04998779296875,288.510009765625,288.510009765625,1513000
2025-01-10,278.3302917480469,286.8500061035156,292.8500061035156,286.70001220703125,290.19000244140625,2292500
2025-01-13,281.580810546875,290.20001220703125,290.4800109863281,285.4800109863281,285.69000244140625,1809400
2025-01-14,283.0265197753906,291.69000244140625,291.8699951171875,287.4700012207031,290.29998779296875,2321600
2025-01-15,284.6566467285156,293.3699951171875,295.2099914550781,292.3599853515625,294.0199890136719,1764400
2025-01-16,287.43170166015625,296.2300109863281,297.6099853515625,291.80999755859375,291.8399963378906,1667500
2025-01-17,287.3831787109375,296.17999267578125,301.0899963378906,295.9599914550781,301.0899963378906,2408400
2025-01-21,289.29461669921875,298.1499938964844,299.1000061035156,296.44000244140625,296.44000244140625,1652300
2025-01-22,287.5577697753906,296.3599853515625,298.67999267578125,296.2200012207031,297.7300109863281,1627800
2025-01-23,287.01446533203125,295.79998779296875,297.17999267578125,293.67999267578125,296.239990234375,1102000
2025-01-24,288.2758483886719,297.1000061035156,298.29998779296875,293.239990234375,293.7200012207031,1206000
2025-01-27,291.2352600097656,300.1499938964844,301.0799865722656,294.70001220703125,294.70001220703125,1635900
2025-01-28,289.4499206542969,298.30999755859375,302.54998779296875,295.6700134277344,299.9599914550781,2469600
2025-01-29,291.64276123046875,300.57000732421875,311.6700134277344,300.4200134277344,304.1400146484375,2764100
2025-01-30,294.2528991699219,303.260009765625,307.8399963378906,301.0400085449219,303.5199890136719,1367100
2025-01-31,294.0102844238281,303.010009765625,305.1000061035156,301.17999267578125,301.7900085449219,2237700
2025-02-03,298.1922912597656,307.32000732421875,307.94000244140625,302.7099914550781,303.29998779296875,2169100
2025-02-04,295.6210021972656,304.6700134277344,305.6300048828125,303.0,304.1400146484375,1256700
2025-02-05,298.9976501464844,308.1499938964844,308.20001220703125,303.9200134277344,305.6300048828125,1633600
2025-02-06,299.7933044433594,308.9700012207031,310.260009765625,307.510009765625,309.0,1740400
2025-02-07,296.88238525390625,305.9700012207031,310.3699951171875,305.82000732421875,310.32000732421875,1387900
2025-02-10,297.8138427734375,306.92999267578125,308.3599853515625,306.4800109863281,308.239990234375,902800
2025-02-11,296.6980285644531,305.7799987792969,307.55999755859375,304.3699951171875,307.55999755859375,1151000
2025-02-12,297.54217529296875,306.6499938964844,306.75,302.80999755859375,304.1400146484375,1559000
2025-02-13,301.0061950683594,310.2200012207031,310.5799865722656,305.0,306.0,1197800
2025-02-14,298.9976501464844,308.1499938964844,311.5899963378906,308.1300048828125,310.0,1100900
2025-02-18,300.7441711425781,309.95001220703125,311.4700012207031,307.7699890136719,310.2799987792969,1313200
2025-02-19,303.9170837402344,313.2200012207031,313.7200012207031,309.5,310.70001220703125,1407700
2025-02-20,302.7041931152344,311.9700012207031,312.8900146484375,309.760009765625,311.9700012207031,1304500
2025-02-21,301.5301513671875,310.760009765625,312.3599853515625,307.32000732421875,311.7799987792969,1600300
2025-02-24,302.9273681640625,312.20001220703125,314.05999755859375,310.1199951171875,310.6199951171875,1311900
2025-02-25,304.0625915527344,313.3699951171875,314.70001220703125,310.44000244140625,312.989990234375,1880000
2025-02-26,302.1317443847656,311.3800048828125,315.2900085449219,311.0400085449219,312.739990234375,1442900
2025-02-27,302.05413818359375,311.29998779296875,314.1199951171875,310.239990234375,311.9800109863281,1489900
2025-02-28,305.81884765625,315.17999267578125,316.4599914550781,311.1300048828125,314.69000244140625,3289100
2025-03-03,309.1761169433594,318.6400146484375,320.5,315.70001220703125,316.010009765625,1515400
2025-03-04,304.1305236816406,313.44000244140625,322.8399963378906,308.0,322.8399963378906,2388400
2025-03-05,301.2099609375,310.42999267578125,313.8999938964844,309.3900146484375,311.3800048828125,3471000
2025-03-06,293.4766540527344,302.4599914550781,309.4599914550781,299.239990234375,308.5,2975100
2025-03-07,297.3481750488281,306.45001220703125,307.2900085449219,302.4599914550781,302.4599914550781,2293500
2025-03-10,293.99090576171875,302.989990234375,309.3399963378906,301.5799865722656,306.20001220703125,2991400
2025-03-11,283.7542419433594,292.44000244140625,304.4800109863281,292.0299987792969,304.1099853515625,2923400
2025-03-12,285.4425354003906,294.17999267578125,294.7799987792969,290.1000061035156,292.7799987792969,1959700
2025-03-13,281.9203796386719,290.54998779296875,294.19000244140625,289.45001220703125,294.1300048828125,2062500
2025-03-14,284.6029052734375,291.760009765625,292.55999755859375,289.20001220703125,289.20001220703125,1429200
2025-03-17,289.3046569824219,296.5799865722656,297.8999938964844,291.2200012207031,292.0799865722656,1818300
2025-03-18,288.67059326171875,295.92999267578125,296.4800109863281,293.0,295.8500061035156,1181000
2025-03-19,291.46051025390625,298.7900085449219,300.2699890136719,295.92999267578125,295.92999267578125,1291700
2025-03-20,290.2119140625,297.510009765625,299.80999755859375,294.8999938964844,295.1400146484375,1602400
2025-03-21,288.0755615234375,295.32000732421875,295.6600036621094,292.7300109863281,295.1600036621094,3951100
2025-03-24,291.5580139160156,298.8900146484375,300.2300109863281,296.7300109863281,297.5299987792969,1709100
2025-03-25,292.0360107421875,299.3800048828125,300.0299987792969,297.510009765625,299.010009765625,1474800
2025-03-26,294.99169921875,302.4100036621094,307.1400146484375,298.8699951171875,300.4200134277344,1851300
2025-03-27,297.9375915527344,305.42999267578125,306.25,301.2799987792969,303.0299987792969,1373800
2025-03-28,293.4504089355469,300.8299865722656,308.8900146484375,300.6499938964844,306.29998779296875,1785400
2025-03-31,298.03515625,305.5299987792969,306.3299865722656,300.8999938964844,301.25,2492500
2025-04-01,299.0203552246094,306.5400085449219,307.3800048828125,303.5899963378906,305.3800048828125,1199200
2025-04-02,299.6934509277344,307.2300109863281,307.9700012207031,303.75,304.92999267578125,1089300
2025-04-03,297.8985900878906,305.3900146484375,309.5,303.4800109863281,304.69000244140625,1998800
2025-04-04,279.11102294921875,286.1300048828125,306.0,285.8999938964844,305.5799865722656,3769200
2025-04-07,274.3215026855469,281.2200012207031,288.5299987792969,272.6199951171875,284.0899963378906,3541600
2025-04-08,269.9708557128906,276.760009765625,286.42999267578125,273.5400085449219,282.79998779296875,3130200
2025-04-09,287.4610595703125,294.69000244140625,295.69000244140625,273.80999755859375,275.1600036621094,3469500
2025-04-10,285.0419006347656,292.2099914550781,297.4700012207031,285.1400146484375,293.1400146484375,3284700
2025-04-11,292.19207763671875,299.5400085449219,301.3900146484375,290.29998779296875,292.2099914550781,2188000
