Date,Adj Close,Close,High,Low,Open,Volume
,APA,APA,APA,APA,APA,APA
2025-01-02,21.99655532836914,23.3799991607666,23.809999465942383,23.139999389648438,23.549999237060547,4663200
2025-01-03,22.03419303894043,23.420000076293945,23.489999771118164,23.059999465942383,23.350000381469727,3983500
2025-01-06,22.25998878479004,23.65999984741211,24.420000076293945,23.510000228881836,23.809999465942383,7644500
2025-01-07,22.25998878479004,23.65999984741211,24.219999313354492,23.549999237060547,23.809999465942383,5483300
2025-01-08,22.278806686401367,23.68000030517578,23.729999542236328,23.399999618530273,23.5,4305900
2025-01-10,22.278806686401367,23.68000030517578,24.469999313354492,23.6299991607666,24.25,5845600
2025-01-13,22.937387466430664,24.3799991607666,24.860000610351562,23.8799991607666,24.030000686645508,7030500
2025-01-14,23.379575729370117,24.850000381469727,25.040000915527344,24.139999389648438,24.219999313354492,6654600
2025-01-15,23.944074630737305,25.450000762939453,25.709999084472656,24.93000030517578,25.06999969482422,8306800
2025-01-16,23.66182518005371,25.149999618530273,25.829999923706055,24.979999542236328,25.270000457763672,6157800
2025-01-17,22.956201553344727,24.399999618530273,25.270000457763672,24.190000534057617,25.270000457763672,9424700
2025-01-21,22.297626495361328,23.700000762939453,24.200000762939453,23.6200008392334,23.989999771118164,7740000
2025-01-22,22.212045669555664,23.360000610351562,23.850000381469727,23.1200008392334,23.170000076293945,5794600
2025-01-23,22.35467529296875,23.510000228881836,24.329999923706055,23.31999969482422,23.6299991607666,8147900
2025-01-24,22.174013137817383,23.31999969482422,23.8799991607666,23.229999542236328,23.579999923706055,5964400
2025-01-27,22.231061935424805,23.3799991607666,24.139999389648438,23.200000762939453,23.459999084472656,6907700
2025-01-28,22.193029403686523,23.34000015258789,23.690000534057617,22.899999618530273,23.5,5280200
2025-01-29,22.040891647338867,23.18000030517578,23.31999969482422,22.959999084472656,23.1200008392334,4100900
2025-01-30,21.860227584838867,22.989999771118164,23.479999542236328,22.81999969482422,23.3700008392334,4692000
2025-01-31,20.852319717407227,21.93000030517578,22.920000076293945,21.899999618530273,22.760000228881836,14807500
2025-02-03,20.41492462158203,21.469999313354492,21.920000076293945,21.190000534057617,21.81999969482422,6867800
2025-02-04,21.289710998535156,22.389999389648438,22.510000228881836,21.149999618530273,21.149999618530273,5965600
2025-02-05,21.099544525146484,22.190000534057617,22.450000762939453,22.100000381469727,22.31999969482422,4278800
2025-02-06,20.576570510864258,21.639999389648438,22.479999542236328,21.3799991607666,22.389999389648438,5241600
2025-02-07,20.6050968170166,21.670000076293945,21.889999389648438,21.559999465942383,21.809999465942383,4885100
2025-02-10,21.860227584838867,22.989999771118164,23.040000915527344,21.899999618530273,21.979999542236328,5790900
2025-02-11,22.164501190185547,23.309999465942383,23.770000457763672,23.15999984741211,23.15999984741211,6510200
2025-02-12,21.27069664001465,22.3700008392334,23.290000915527344,22.200000762939453,23.059999465942383,7025300
2025-02-13,21.38479995727539,22.489999771118164,22.530000686645508,22.100000381469727,22.3799991607666,6176600
2025-02-14,22.00285530090332,23.139999389648438,23.3799991607666,22.56999969482422,22.649999618530273,7882700
2025-02-18,22.411725997924805,23.56999969482422,23.829999923706055,22.940000534057617,23.350000381469727,7283300
2025-02-19,22.430744171142578,23.59000015258789,23.979999542236328,23.299999237060547,23.610000610351562,6845500
2025-02-20,22.459270477294922,23.6200008392334,23.6299991607666,22.989999771118164,23.389999389648438,6409300
2025-02-21,21.670059204101562,22.790000915527344,23.56999969482422,22.719999313354492,23.549999237060547,6792100
2025-02-24,21.746126174926758,22.8700008392334,23.010000228881836,22.5,22.860000610351562,4984000
2025-02-25,21.28020477294922,22.3799991607666,23.030000686645508,22.290000915527344,22.899999618530273,7521400
2025-02-26,20.928388595581055,22.010000228881836,22.5,21.739999771118164,22.479999542236328,8710500
2025-02-27,19.416522979736328,20.420000076293945,22.06999969482422,20.100000381469727,22.06999969482422,18477200
2025-02-28,19.68276596069336,20.700000762939453,21.040000915527344,19.84000015258789,20.1200008392334,40477300
