Sector,Tickers,Avg_Total_Return,Mean_Weekly_Return,Weekly_Volatility,Max_Drawdown,Positive_Week_Rate,Samples,Target_Hit_5d_Rate,Target_Before_Stop_5d_Rate,Median_Forward_Drawdown,P10_Forward_Drawdown
Healthcare,4,0.2992398906922656,0.004611575706140644,0.04260341444287564,-0.24121898014622592,0.5634328358208955,1276,0.719435736677116,0.5070532915360502,-0.02251420818983374,-0.06593850491236836
Financial,15,0.08495733645440659,0.001796410679228453,0.04113840806907036,-0.2733539565356724,0.545273631840796,4785,0.6779519331243469,0.4827586206896552,-0.02321699098929586,-0.06875697683304487
Industrial,19,0.37398225596140106,0.00501794732894067,0.040521118857562766,-0.25942915596757155,0.5530243519245875,6061,0.6866853654512457,0.4811087279326844,-0.021550089723534782,-0.06473512206566578
Technology,10,0.11818413069405191,0.0004509711745725847,0.0462568800431045,-0.4136567962567536,0.5253731343283582,3190,0.6595611285266457,0.47398119122257054,-0.022721869091739455,-0.07340680433618653
Real Estate,6,-0.14235465007423367,-0.0020475052856067655,0.03425289918878116,-0.3018536516284936,0.5199004975124378,1914,0.6233019853709509,0.46029258098223613,-0.01999023241544645,-0.05992851278722966
Consumer,6,-0.08902425897580722,-0.001569984545945496,0.04896415961968129,-0.3675235520161994,0.5,1914,0.7335423197492164,0.44723092998955066,-0.03179211371414853,-0.08473674801466101
