Ticker,Sector,Valid_Analysis_Rows,Target_Before_Stop_5d_Rate,Target_Hit_5d_Rate,Median_Max_Forward_Return_5d,Median_Min_Forward_Drawdown_5d,Mean_ret_5d,Mean_ret_20d,Mean_rsi_14,Mean_macd_hist,Mean_bb_width_20,Mean_realized_vol_20,Mean_atr14_norm,Mean_open_above_prior_20d_high
MTB,Financial,269,0.550185873605948,0.6840148698884758,0.02291219865832117,-0.016850240220005475,0.004888975749157813,0.01069394423010118,53.113706362466644,0.057660584483914964,0.11612694108892681,0.015572381317489298,0.02352444332999217,0.10037174721189591
LOGI,Technology,269,0.5464684014869888,0.6840148698884758,0.027033844380849326,-0.019477245702575474,0.0016557907660721852,0.00025545110456086503,51.34891316890776,0.0004312871230306079,0.15556277385672684,0.02215921556260447,0.025711413556920568,0.11895910780669144
KLAC,Technology,269,0.5390334572490706,0.862453531598513,0.04252585325170943,-0.026960784313725505,0.01837245222899933,0.062086249139190114,57.621663203254165,0.5093242161354141,0.1815161241581263,0.02911441988814129,0.03720347158404143,0.1412639405204461
ROK,Industrial,269,0.5353159851301115,0.7323420074349443,0.028752727879149065,-0.018000105328611404,0.008018600828675485,0.02433004388479286,55.52692861338241,-0.013594516755593694,0.1283880390357513,0.01854496932760314,0.027255755856612853,0.137546468401487
UBSI,Financial,269,0.5353159851301115,0.6579925650557621,0.024560515911173253,-0.016762621045293802,0.00486963205570424,0.012523198465028631,52.62051649812588,0.014076891084563767,0.10094088898586785,0.015832888235809865,0.023132480775598332,0.07063197026022305
SSB,Financial,269,0.5315985130111525,0.7063197026022305,0.026426243387122517,-0.022653711980116342,0.0018001225096108309,-0.0006441448857689926,50.81677988329523,0.02032583659019082,0.11362665896678574,0.01732264318141426,0.026567670519442012,0.08550185873605948
MLI,Industrial,269,0.5278810408921933,0.7472118959107806,0.02906267915726435,-0.017568698061276256,0.00795255002872471,0.027967364857301436,56.98080639034874,-0.015194221248737153,0.12028476284676971,0.017725130512239076,0.025799936489082544,0.17843866171003717
BURL,Consumer,269,0.5204460966542751,0.8029739776951673,0.04262099727507551,-0.02895378543925542,0.007938611115334055,0.02518060797547885,53.25429062134614,0.2193409237015545,0.1494756846546686,0.025631845442990877,0.03661041981445018,0.09293680297397769
KMT,Industrial,269,0.516728624535316,0.7843866171003717,0.03708981235517461,-0.023631291396002063,0.012283222426259881,0.04514880552640834,56.7282108516793,0.0011375758034615972,0.17260326841126017,0.02438991833441356,0.032161182447624656,0.13011152416356878
HXL,Industrial,269,0.516728624535316,0.7472118959107806,0.03272056487811126,-0.023887488681261004,0.008076599205555278,0.02453727294030762,55.102906187789586,0.007212208893525251,0.13597505533259452,0.020058635119366806,0.0293469330869794,0.10037174721189591
HOPE,Financial,269,0.5130111524163569,0.7026022304832714,0.02584485729250363,-0.021607606447201277,0.0037002918984807066,0.006698361678543059,50.96285362673636,0.005447621432914862,0.12379962290657558,0.018719587114280834,0.02693982078198802,0.06691449814126393
IAC,Consumer,269,0.5130111524163569,0.7509293680297398,0.03335975879345132,-0.02703459286028609,0.0031896010105694076,0.0077348793232270025,51.44000823850917,0.006153484148508876,0.1397558847074549,0.02109056639791118,0.03132159486184377,0.08550185873605948
VRSN,Technology,269,0.5130111524163569,0.6579925650557621,0.02106973303470916,-0.017347751677152634,0.0032562353662623864,0.007425016092153077,51.67303133116199,0.027843702092827095,0.11236708112583839,0.015893547540033887,0.023475773445596183,0.06691449814126393
VMC,Industrial,269,0.5092936802973977,0.6840148698884758,0.023477735776698205,-0.019654685687806706,0.005071002541760101,0.010591591735023281,52.63301892604113,0.08698646044241354,0.09846264474792345,0.01593345381098744,0.02389033759002491,0.08178438661710037
MCO,Financial,269,0.5092936802973977,0.654275092936803,0.02076373825854816,-0.019337016238121785,0.0005878852237755641,-0.005242696172491667,50.26648746042643,0.03259718451000084,0.11368863395464704,0.01744689372029791,0.023661998153668953,0.055762081784386616
ALLE,Industrial,269,0.5055762081784386,0.6431226765799256,0.020779073392998004,-0.0164863074823407,0.0028493843788398743,0.01164463869472754,52.50217310187638,-0.044442388509147265,0.10196961050714434,0.015511163519047994,0.02143327923101261,0.08550185873605948
