Sector,Samples,Target_Hit_5d_Rate,Target_Before_Stop_5d_Rate,Median_Forward_Drawdown
Healthcare,1276,0.719435736677116,0.5070532915360502,-0.02251420818983374
Financial,4785,0.6779519331243469,0.4827586206896552,-0.02321699098929586
Industrial,6061,0.6866853654512457,0.4811087279326844,-0.021550089723534782
Technology,3190,0.6595611285266457,0.47398119122257054,-0.022721869091739455
Real Estate,1914,0.6233019853709509,0.46029258098223613,-0.01999023241544645
Consumer,1914,0.7335423197492164,0.44723092998955066,-0.03179211371414853
