,count,mean,std,min,25%,50%,75%,max
ret_5d,19020.0,0.0019144427323423221,0.04395925835368209,-0.32885865741323583,-0.021369748127852695,0.002587675917363974,0.02579648186251232,0.29178849878494395
ret_20d,18120.0,0.004101116206735282,0.08730521357130765,-0.4076796039907844,-0.04981179123264451,0.00365686265047227,0.05551724278638187,0.4254572798566123
close_above_sma_20,18180.0,0.5232123212321232,0.4994746346265753,0.0,0.0,1.0,1.0,1.0
close_above_sma_50,16380.0,0.5201465201465202,0.4996092036706613,0.0,0.0,1.0,1.0,1.0
dist_prev_close_sma_20,18180.0,0.0008781518067217463,0.048695789969726525,-0.31804482953325897,-0.025757426940683864,0.0022276093569022493,0.02915539446626858,0.25095410652745076
dist_open_sma_20,18180.0,0.000772072767336754,0.05016563203871835,-0.3630331768998172,-0.026068928946127418,0.0019036641989532699,0.029756350737670967,0.24224792711638865
dist_open_ema_20,18180.0,0.00030273753871178706,0.043294335926502385,-0.35334964115486145,-0.022470121801319243,0.001997539972166895,0.025616703880892933,0.21042069865824709
sma_20_slope_5d,17880.0,0.00015831257265507844,0.020920211295896975,-0.11195507106930913,-0.012287135646992214,0.0008662100477853096,0.013010409674203083,0.08793402414564122
rsi_14,18480.0,51.57490301119581,12.424659615223568,9.184319349586062,42.780033396352636,51.337591911189776,60.292769255107025,94.8480332012717
macd_hist,17340.0,-0.007587098940433577,1.9648014923339714,-35.94321528415514,-0.4654804763307616,0.003255058248903736,0.4463227903146121,32.333374588788075
bb_width_20,18180.0,0.12696193838866365,0.07513027903911677,0.019143170078017732,0.07409065647099927,0.10916698259651969,0.15835991502350294,0.7909586431410621
bb_position_20,18180.0,0.5151803322053815,0.3285811497373691,-0.47378860710663784,0.25315397496834363,0.5263308599368886,0.7843167350454008,1.5001159465375176
volume_change_5d,19020.0,0.15654329088507662,0.7208204548223,-0.9546945517145117,-0.26992746186080263,-0.006846608631543127,0.3716593387183697,12.410686319668356
relative_volume_20,18180.0,1.0141621993606622,0.4580633493244646,0.15357203461734262,0.7351797634924195,0.9177587704072401,1.1724690552735628,10.176614345821472
dollar_volume_log,19320.0,18.571255808441958,1.0906311288646406,15.176767330838906,17.860934287230048,18.662135135275747,19.335908776464734,22.339379960638034
realized_vol_20,18120.0,0.019060357207096125,0.008685462187880143,0.004214374230444559,0.013139049825640186,0.01695855313347628,0.022593948000607267,0.0763279009724995
atr14_norm,18540.0,0.0276149658586588,0.010714852097000323,0.010201546274973388,0.020122191813216114,0.025293042360971685,0.031879808243934285,0.10831658657294573
gap_open_prev_close,19320.0,5.046126289202771e-06,0.012140186324244214,-0.2798253344213111,-0.004230716655057837,0.0,0.004481890311445635,0.2992889485793242
gap_up,19320.0,0.4989130434782609,0.5000117589544876,0.0,0.0,0.0,1.0,1.0
gap_down,19320.0,0.4738095238095238,0.49932651049116195,0.0,0.0,0.0,1.0,1.0
prev_close_above_prior_20d_high,18120.0,0.06837748344370861,0.2523995225009962,0.0,0.0,0.0,0.0,1.0
open_above_prior_20d_high,18120.0,0.07649006622516556,0.26578795049304427,0.0,0.0,0.0,0.0,1.0
dist_open_prior_20d_high,18120.0,-0.05895769426987907,0.05632726694393761,-0.41619932131705784,-0.08685356555717963,-0.04550151332468427,-0.019500013169494207,0.16578371795116986
prev_close_below_prior_20d_low,18120.0,0.05275938189845475,0.2235589133100111,0.0,0.0,0.0,0.0,1.0
dist_open_prior_20d_low,18120.0,0.07522316101779937,0.06640106022432639,-0.28534850312978044,0.02902040913872267,0.06159067005876839,0.10801006331468072,0.4492185938724276
