Ticker,Samples,Target_Hit_5d_Rate,Target_Before_Stop_5d_Rate,Median_Forward_Drawdown
VRSN,319,0.677115987460815,0.5360501567398119,-0.0163752363721974
DGX,319,0.677115987460815,0.5329153605015674,-0.017520578661746833
LOGI,319,0.670846394984326,0.5297805642633229,-0.018808490174550108
CBOE,319,0.7021943573667712,0.5297805642633229,-0.01961553519099324
MTB,319,0.6614420062695925,0.5297805642633229,-0.019305434298418578
KLAC,319,0.8589341692789969,0.5297805642633229,-0.027447729164755463
ALLE,319,0.6551724137931034,0.5266457680250783,-0.016631688219913898
UBSI,319,0.6551724137931034,0.5235109717868338,-0.01862827665049982
MLI,319,0.7460815047021944,0.5235109717868338,-0.019157087842611165
SSB,319,0.6990595611285266,0.5203761755485894,-0.024611525621077046
NOC,319,0.6677115987460815,0.5109717868338558,-0.018503745367779323
HXL,319,0.7429467084639498,0.5109717868338558,-0.02434822391360636
REGN,319,0.7429467084639498,0.5109717868338558,-0.0291367347777578
MCK,319,0.6677115987460815,0.5078369905956113,-0.01887817536745151
CMI,319,0.7241379310344828,0.5047021943573667,-0.021191613597958292
KMT,319,0.7617554858934169,0.5015673981191222,-0.02406295433025485
IAC,319,0.7554858934169278,0.49843260188087773,-0.028299344640199786
VMC,319,0.6551724137931034,0.49843260188087773,-0.020786438768678583
MCO,319,0.6489028213166145,0.49843260188087773,-0.019860107905135593
YELP,319,0.6865203761755486,0.4952978056426332,-0.02679692599372885
WAB,319,0.664576802507837,0.4952978056426332,-0.018030627039102964
JBHT,319,0.7366771159874608,0.49216300940438873,-0.024456338502536812
REG,319,0.6175548589341693,0.49216300940438873,-0.01544183290470258
BURL,319,0.7836990595611285,0.4890282131661442,-0.032354170719129605
HOPE,319,0.6802507836990596,0.4890282131661442,-0.02480158748930661
MSI,319,0.5956112852664577,0.48589341692789967,-0.016189882387093735
ROK,319,0.6896551724137931,0.48589341692789967,-0.021685572601369163
HIW,319,0.677115987460815,0.4827586206896552,-0.02453155745639113
EWBC,319,0.7021943573667712,0.4827586206896552,-0.02264910894883365
WAL,319,0.7586206896551724,0.4827586206896552,-0.030712069111533347
NTES,319,0.6959247648902821,0.47962382445141066,-0.024213089783854724
ALNY,319,0.7899686520376176,0.47648902821316613,-0.02778309573637816
FAF,319,0.6865203761755486,0.4702194357366771,-0.023724174535388554
DOV,319,0.6426332288401254,0.4702194357366771,-0.02065893591324719
SF,319,0.670846394984326,0.4670846394984326,-0.02540647460775003
NSA,319,0.6677115987460815,0.4670846394984326,-0.02314813462593779
AGCO,319,0.7398119122257053,0.4670846394984326,-0.028654051691754057
EXR,319,0.6426332288401254,0.4670846394984326,-0.01783671478723059
BWXT,319,0.799373040752351,0.46394984326018807,-0.030648001199562458
WERN,319,0.7492163009404389,0.46394984326018807,-0.03134112950486867
PWR,319,0.8150470219435737,0.46394984326018807,-0.02934908529838376
PNW,319,0.5705329153605015,0.45768025078369906,-0.015873008958461776
LPLA,319,0.7366771159874608,0.45454545454545453,-0.03109456690295076
AVB,319,0.5454545454545454,0.45454545454545453,-0.016518556944242313
GGG,319,0.567398119122257,0.45141065830721006,-0.017268126194563083
TRIN,319,0.567398119122257,0.4482758620689655,-0.01862072122508085
SBAC,319,0.6081504702194357,0.4482758620689655,-0.022719482846397576
MAA,319,0.5454545454545454,0.445141065830721,-0.018957659655416625
TXRH,319,0.6394984326018809,0.445141065830721,-0.02544837576358372
ITW,319,0.5360501567398119,0.445141065830721,-0.017232467518238814
BR,319,0.5611285266457681,0.44200626959247646,-0.021162308227822724
LAZ,319,0.7711598746081505,0.43573667711598746,-0.03393366664506814
CALM,319,0.7335423197492164,0.42946708463949845,-0.032875271252803984
SMG,319,0.7335423197492164,0.4231974921630094,-0.03475024645706981
SLG,319,0.7115987460815048,0.4200626959247649,-0.038867789902556016
ROP,319,0.5047021943573667,0.4200626959247649,-0.018420740273032643
PAYC,319,0.6802507836990596,0.41379310344827586,-0.03316416657342458
RPM,319,0.5830721003134797,0.40752351097178685,-0.022580675663825156
IT,319,0.6175548589341693,0.4012539184952978,-0.033867723239447645
FVRR,319,0.7554858934169278,0.3981191222570533,-0.0437835401085257
