,Consumer,Financial,Healthcare,Industrial,Real Estate,Technology
Consumer,1.0,0.6812928917668878,0.29658670603838094,0.6551291654309813,0.5383298899632326,0.6443821746748173
Financial,0.6812928917668878,1.0,0.35695508683793975,0.7712460873652761,0.7025264896970832,0.6720168752996832
Healthcare,0.29658670603838094,0.35695508683793975,1.0,0.40501744968700554,0.40775396573235123,0.35147671306082334
Industrial,0.6551291654309813,0.7712460873652761,0.40501744968700554,1.0,0.624881910646722,0.628085803003637
Real Estate,0.5383298899632326,0.7025264896970832,0.40775396573235123,0.624881910646722,1.0,0.5699800702236295
Technology,0.6443821746748173,0.6720168752996832,0.35147671306082334,0.628085803003637,0.5699800702236295,1.0
