,target_before_stop_5d,target_hit_5d,max_forward_return_5d,min_forward_drawdown_5d,close_return_5d
prev_close_below_prior_20d_low,-0.029214442890269296,0.017298848909464638,0.045344171404212555,-0.05433382963982945,-0.010919532584500128
ret_5d,0.028638076805886776,-0.027389594219825942,-0.08053261453981911,0.06984936251981605,-0.014978928533068559
gap_down,0.02518773149885933,0.04586585107190378,0.07314783858291188,-0.027274338522061726,0.023877502532383584
gap_up,-0.025144414737408808,-0.04413773990708713,-0.067983029118087,0.022329465751658454,-0.022649633318448138
dist_prev_close_sma_20,0.024658604250604343,-0.04976392846082457,-0.09690558868484647,0.07149753609127002,-0.014842771451196706
bb_position_20,0.023072857701771046,-0.03430789934920192,-0.052690850430389895,0.06759296442626939,0.010411651122436107
dist_open_sma_20,0.02262463284269682,-0.05456766554599924,-0.1133169661894875,0.08391690635430969,-0.018343616604665165
realized_vol_20,0.020013828532889643,0.16213680771185757,0.26410471654650347,-0.1271303275430309,0.09956483790853701
macd_hist,0.018649383563953258,0.0077452831259183915,-0.0116763558292731,-0.007523066263966744,-0.01197192429433523
sma_20_slope_5d,-0.015427251903635315,-0.07439612077266013,-0.1017845646813893,0.05359094025085766,-0.030049460211090142
dist_open_ema_20,0.01354264535048653,-0.06898449078832661,-0.1385641115143933,0.09262849202332105,-0.028723150919269587
dist_open_prior_20d_high,0.012860984750335485,-0.11142768305243667,-0.19192696681687565,0.13729842561242545,-0.035955983173209194
close_above_sma_20,0.011693385948367703,-0.03176560621895209,-0.03347222915061006,0.05202495730524152,0.018829653096029964
dist_open_prior_20d_low,0.009155187764944474,0.02306804125550111,0.03474685169757376,-0.004001056679709792,0.03280822203555764
volume_change_5d,0.007884940799966132,0.048779376154568656,0.06918088638328486,-0.03868904403011707,0.020071968174083053
close_above_sma_50,-0.007526986101750672,-0.05362978650912601,-0.06497837331719533,0.06100242918221739,-0.0015265253338256402
dollar_volume_log,0.006909011689280189,0.016959075757498433,0.006799196227641592,0.01638884587501026,0.025708428845995158
bb_width_20,-0.006382823189574298,0.10903727260293138,0.17381316718219528,-0.09672088064127528,0.05677260998015823
gap_open_prev_close,-0.005613667702191313,-0.027747769773203396,-0.08570291698907015,0.05796376834888959,-0.019847403752634742
relative_volume_20,-0.004327013453512984,0.04657997243003527,0.05386988233931611,-0.04599930680889096,-0.000666597780467477
atr14_norm,-0.003695609186636067,0.1780503761595667,0.29817422085856793,-0.1757681877515422,0.08773334085688543
ret_20d,-0.002532244398159459,-0.06714432855959439,-0.0931674269890821,0.06043744012805814,-0.01825656273204116
rsi_14,-0.0018457464842558183,-0.06264772392720444,-0.09160927734539842,0.06893566696519764,-0.010854111296539815
open_above_prior_20d_high,-0.0009267721217290643,0.0019427427365847744,-0.01241263985936226,0.02745496833841696,0.00899749863018265
prev_close_above_prior_20d_high,0.00033576617501738853,-0.00680802958715125,-0.021406024836093728,0.019356957448813047,-0.0007871303684006487
