Date,Ticker,Sector,Open,High,Low,Close,Volume,ret_5d,ret_20d,sma_5,sma_20,sma_50,ema_20,close_above_sma_20,close_above_sma_50,dist_prev_close_sma_20,dist_open_sma_20,dist_open_ema_20,sma_20_slope_5d,rsi_14,macd_hist,bb_width_20,bb_position_20,volume_change_5d,relative_volume_20,dollar_volume_log,realized_vol_20,atr14_norm,gap_open_prev_close,gap_up,gap_down,prior_20d_high,prior_20d_low,prev_close_above_prior_20d_high,open_above_prior_20d_high,dist_open_prior_20d_high,prev_close_below_prior_20d_low,dist_open_prior_20d_low,target_hit_5d,target_before_stop_5d,max_forward_return_5d,min_forward_drawdown_5d,close_return_5d,days_to_target,valid_forward_window,valid_backward_window,valid_analysis_window
2025-01-02,AGCO,Industrial,94.16999816894533,94.87000274658205,91.12999725341795,91.30999755859376,468900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.007433413945499678,-0.05267069322412221,-0.04183917265181636,,True,False,False
2025-01-03,AGCO,Industrial,91.58000183105467,92.70999908447266,90.87000274658205,92.3000030517578,575600,,,,,,,,,,,,,,,,,,,17.572405112324528,,,0.0029570066770361336,1.0,0.0,,,,,,,,1.0,1.0,0.028281243569623804,-0.036907674330994955,-0.007971209241514066,1.0,True,False,False
2025-01-06,AGCO,Industrial,93.4499969482422,94.16999816894533,91.0,91.1500015258789,1031400,,,,,,,,,,,,,,,,,,,17.78821244739013,,,0.01245930507542381,1.0,0.0,,,,,,,,1.0,0.0,0.04644199153573947,-0.056179777115538676,0.03895130560212268,,True,False,False
2025-01-07,AGCO,Industrial,91.33000183105467,92.4499969482422,90.70999908447266,91.62999725341795,738600,,,,,,,,,,,,,,,,,,,18.3589341891009,,,0.0019747701828032316,1.0,0.0,,,,,,,,1.0,0.0,0.07390780537250374,-0.034271376547243215,0.06547679412731311,,True,False,False
2025-01-08,AGCO,Industrial,90.5500030517578,90.56999969482422,89.20999908447266,90.2300033569336,692600,,,,,,,,,,,,,,,,,,,18.030270495178886,,,-0.011786469868303673,0.0,1.0,,,,,,,,1.0,0.0,0.09784649709274174,-0.025952578954330452,0.07520703842164655,,True,False,False
2025-01-10,AGCO,Industrial,89.13999938964844,91.30999755859376,88.19999694824219,90.8499984741211,905900,,,91.32400054931641,,,,,,,,,,,,,,,,17.950569930162768,,,-0.012080282907375062,0.0,1.0,,,,,,,,1.0,1.0,0.1251963623347898,-0.010545237243017147,0.12183083559245245,0.0,True,False,False
2025-01-13,AGCO,Industrial,90.5,97.79000091552734,90.1500015258789,97.08999633789062,1054900,-0.005037773483429264,,91.23200073242188,,,,,,,,,,,,,,0.9319684367669012,,18.22589399385449,,,-0.003852487396802662,0.0,1.0,,,,,,,,1.0,1.0,0.12751382227102037,-0.0038673864543766756,0.12364643581664359,0.0,True,False,False
2025-01-14,AGCO,Industrial,97.20999908447266,98.08000183105467,95.66000366210938,97.30999755859376,819300,0.05189591687712958,,92.18999938964843,,,,,,,,,,,,,,0.832696316886727,,18.44459488909694,,,0.0012359949645521784,1.0,0.0,,,,,,,,1.0,0.0,0.07344922803099685,-0.015944814699734522,0.060899066193807805,,True,False,False
2025-01-15,AGCO,Industrial,98.83999633789062,99.41000366210938,97.1999969482422,97.36000061035156,659100,0.06758086593082435,,93.4219985961914,,,,,,,,,,,,,,-0.2056428155904596,,18.194107342417794,,,0.015722935131876836,1.0,0.0,,,,,,,,1.0,0.0,0.055746684949220304,-0.016592467122742316,0.04522461944881262,,True,False,False
2025-01-16,AGCO,Industrial,97.7300033569336,100.3000030517578,97.36000061035156,100.0,497700,0.06253414306110194,,94.56799926757813,,,,,,,,,,,,,,-0.1076360682372055,,17.97704601757271,,,0.0038003568638298457,1.0,0.0,,,,,,,,1.0,1.0,0.08339295627278975,-0.003785968831195974,0.07551414099991827,0.0,True,False,False
2025-01-17,AGCO,Industrial,100.88999938964844,102.04000091552734,100.06999969482422,101.69000244140624,736700,0.10827880172427862,,96.52199859619141,,,,,,,,,,,,,,-0.28140340745018766,,17.72292297092716,,,0.008899993896484437,1.0,0.0,,,,,,,,1.0,1.0,0.050252747799544695,-0.008127660816581894,0.04053924067824699,1.0,True,False,False
2025-01-21,AGCO,Industrial,101.91000366210938,104.3499984741211,101.66999816894533,103.12999725341795,550800,0.11931760208419773,,98.68999938964843,,,,,,,,,,,,,,-0.18677558229385138,,18.13186503983073,,,0.0021634498517186795,1.0,0.0,,,,,,,,1.0,1.0,0.051417894960961386,-0.002355072952011761,0.04690411743233103,0.0,True,False,False
2025-01-22,AGCO,Industrial,102.7300033569336,104.08999633789062,102.04000091552734,103.30999755859376,539300,0.06221033209752158,,99.8979995727539,,,,,,,,,,,,,,-0.4778652004929377,,17.855117365136774,,,-0.0038785407460204535,0.0,1.0,,,,,,,,1.0,1.0,0.04302538717523552,-0.006716659387315027,0.022096725093830205,1.0,True,False,False
2025-01-23,AGCO,Industrial,103.48999786376952,105.87999725341795,103.25,105.11000061035156,806400,0.06165861833864694,,101.0979995727539,,,,,,,,,,,,,,-0.34175515684120594,,17.835761452503284,,,0.0017423319081355526,1.0,0.0,,,,,,,,1.0,1.0,0.035365771936021195,-0.0023190440498940257,0.003671899610170559,0.0,True,False,False
2025-01-24,AGCO,Industrial,105.43000030517578,105.95999908447266,104.16999816894533,104.9800033569336,654100,0.07960147854781341,,102.6479995727539,,,,,,,,,,,,,,0.22348657259899873,,18.255342614739213,,0.02761052843788693,0.0030444267240610223,1.0,0.0,,,,,,,,1.0,1.0,0.01631415361590105,-0.016029616205201713,0.009010689040048758,1.0,True,False,False
2025-01-27,AGCO,Industrial,105.37000274658205,107.1500015258789,104.20999908447266,106.69000244140624,751600,0.049800033569336044,,103.64400024414063,,,,,,,,,,92.42353676142943,,,,0.31424552943540296,,18.04478542631329,,0.026317932285683986,0.003714987399290104,1.0,0.0,,,,,,,,1.0,1.0,0.016892841728189056,-0.015469344598317392,-0.008920968177888344,0.0,True,False,False
2025-01-28,AGCO,Industrial,105.98999786376952,107.02999877929688,104.06999969482422,105.0,578200,0.049169041989953755,,104.64400024414063,,,,,,,,,,93.17359782602081,,,,0.020225329170625805,,18.199887015078655,,0.026632565556421177,-0.006561107522901732,0.0,1.0,,,,,,,,0.0,0.0,0.00981225527397478,-0.061420838173837033,-0.0494386071269155,,True,False,False
2025-01-29,AGCO,Industrial,105.1500015258789,105.8000030517578,103.73999786376952,103.87000274658205,472300,0.01813248129917966,,105.01800079345703,,,,,,,,,,84.29197236058403,,,,0.049745824255628124,,17.921635475193387,,0.026918367139336156,0.0014285859607514606,1.0,0.0,,,,,,,,1.0,1.0,0.016167350675917902,-0.05392294899348948,-0.015691883042653232,1.0,True,False,False
