Sector,Ticker,Target_Before_Stop_5d_Rate,Median_Min_Forward_Drawdown_5d,Mean_Weekly_Return
Technology,VRSN,0.5360501567398119,-0.0163752363721974,0.0049495343141736665
Healthcare,DGX,0.5329153605015674,-0.017520578661746833,0.004158024964014923
Technology,LOGI,0.5297805642633229,-0.018808490174550108,0.004405331100548086
Financial,CBOE,0.5297805642633229,-0.01961553519099324,0.006807550029896065
Financial,MTB,0.5297805642633229,-0.019305434298418578,0.0025770078824934625
Technology,KLAC,0.5297805642633229,-0.027447729164755463,0.016795725672611145
Industrial,ALLE,0.5266457680250783,-0.016631688219913898,0.0020634859337181764
Financial,UBSI,0.5235109717868338,-0.01862827665049982,0.0030658004020479215
Industrial,MLI,0.5235109717868338,-0.019157087842611165,0.006943106412134831
Industrial,NOC,0.5109717868338558,-0.018503745367779323,0.005968367284721373
Healthcare,REGN,0.5109717868338558,-0.0291367347777578,0.0019784988399968425
Healthcare,MCK,0.5078369905956113,-0.01887817536745151,0.006578917483051086
Consumer,IAC,0.49843260188087773,-0.028299344640199786,0.004247000883261776
Real Estate,REG,0.49216300940438873,-0.01544183290470258,0.0018139307145614415
Consumer,BURL,0.4890282131661442,-0.032354170719129605,0.003920304748910859
Real Estate,HIW,0.4827586206896552,-0.02453155745639113,-0.0033132720506888064
Real Estate,EXR,0.4670846394984326,-0.01783671478723059,0.00010374055293070679
Consumer,TXRH,0.445141065830721,-0.02544837576358372,-0.0008179084562838522
