,ret_5d,ret_20d,close_above_sma_20,close_above_sma_50,dist_prev_close_sma_20,dist_open_sma_20,dist_open_ema_20,sma_20_slope_5d,rsi_14,macd_hist,bb_width_20,bb_position_20,volume_change_5d,relative_volume_20,dollar_volume_log,realized_vol_20,atr14_norm,gap_open_prev_close,gap_up,gap_down,prev_close_above_prior_20d_high,open_above_prior_20d_high,dist_open_prior_20d_high,prev_close_below_prior_20d_low,dist_open_prior_20d_low
ret_5d,1.0,0.4890684120059978,0.5344598998627885,0.35710253653302704,0.7554428094216405,0.7343961309409998,0.7446297137227414,0.29674500857527764,0.6501222647807815,0.47373041477021277,0.015684305522787587,0.7284025392036468,-0.13427216661774288,-0.14685963553618261,0.004652485237660562,0.007265527577253611,-0.12813816354844032,0.013367516114817178,-0.02443110509127065,0.02534349263193991,0.3500968830318079,0.33394658420288664,0.5617382206413858,-0.34946627719153844,0.5674431525577583
ret_20d,0.4890684120059978,1.0,0.6427661045940655,0.6686422451513601,0.8493198969677687,0.8273143631005876,0.8274042719930143,0.9297909041462993,0.85281106681933,0.38100433102686176,-0.08214835648621352,0.7008548293911824,-0.03771873731185559,-0.06545905957976544,0.06666695807906751,-0.1657245949664767,-0.31503311958638086,0.019501753588838894,0.001785746172674122,-0.0043078580556867975,0.313287200962669,0.3098232870869151,0.7769729112246903,-0.26398325942434,0.6869635046920336
close_above_sma_20,0.5344598998627885,0.6427661045940655,1.0,0.5855449917781889,0.7374405696557281,0.712538494633767,0.6862565722649373,0.5411174583944821,0.7657354063579045,0.41093843907050354,-0.047122579034026946,0.844855524980049,-0.054573894394392565,-0.09567119576754696,0.01971972464544524,-0.053722433545037855,-0.19357655511856472,-0.007695698340366275,-0.028123604476275217,0.026495588682733492,0.2570595879144123,0.2699781723957127,0.6300774126944677,-0.24147105807479613,0.5793372936509746
close_above_sma_50,0.35710253653302704,0.6686422451513601,0.5855449917781889,1.0,0.5932686160318807,0.5804456814825062,0.6250245707644343,0.6745119068144848,0.7566567853812945,0.16625832797330517,-0.10036705973594731,0.6211442473482347,-0.02917216823583308,-0.0377877510361448,0.06741899110074921,-0.16422641615452413,-0.25735908343389036,0.023224552610941026,0.026024365830235225,-0.02939788576670818,0.2446861570464002,0.24961587916024572,0.5795957994220963,-0.22190580700326074,0.4368721363201024
dist_prev_close_sma_20,0.7554428094216405,0.8493198969677687,0.7374405696557281,0.5932686160318807,1.0,0.9703113491951428,0.940996603004221,0.7101324438028104,0.89475930514523,0.5595124018566592,-0.0803915335243049,0.8682049871065307,-0.07605325380766162,-0.12471179033242717,0.038803207475884484,-0.10845944551490103,-0.3035017436601503,0.008129721152293556,-0.02144817872351809,0.02012391519181169,0.39132851880758607,0.38028940992589494,0.8161007303191017,-0.35203635494113533,0.7370069709654093
dist_open_sma_20,0.7343961309409998,0.8273143631005876,0.712538494633767,0.5804456814825062,0.9703113491951428,1.0,0.9819888250798392,0.6960844025173657,0.8686660642686546,0.5389826879033028,-0.08213630559487595,0.84155300529606,-0.08147550320570351,-0.12046703634019092,0.03783076961494747,-0.1123321319927946,-0.29848611799649744,0.24919233401810434,0.11716944392514374,-0.11870185857048514,0.3798794082632493,0.41191600105887327,0.8436392858852687,-0.348668364205766,0.7599158395929436
dist_open_ema_20,0.7446297137227414,0.8274042719930143,0.6862565722649373,0.6250245707644343,0.940996603004221,0.9819888250798392,1.0,0.7139285237927463,0.8870789427541339,0.47184418713284865,-0.10619669722898924,0.8250829358652784,-0.0880238612135209,-0.11796544191611888,0.04988188867874783,-0.14829506530215317,-0.3160953551126496,0.2925558334583283,0.14619213791049923,-0.14840008787411324,0.38340881430455076,0.42072038521555916,0.8564595130579141,-0.35972440897071534,0.7356103766208916
sma_20_slope_5d,0.29674500857527764,0.9297909041462993,0.5411174583944821,0.6745119068144848,0.7101324438028104,0.6960844025173657,0.7139285237927463,1.0,0.7743789904889343,0.2706339772541269,-0.14090654820725151,0.5448502461638309,-0.023859952308046925,-0.036396955752393066,0.07389457227063569,-0.2295980529982026,-0.340080303312211,0.03344419444239295,0.02007200871301825,-0.023824103940806595,0.22536049051685295,0.23027084619758145,0.7093655567182751,-0.16673033668077764,0.5467429727229481
rsi_14,0.6501222647807815,0.85281106681933,0.7657354063579045,0.7566567853812945,0.89475930514523,0.8686660642686546,0.8870789427541339,0.7743789904889343,1.0,0.4045053330311792,-0.061048087518946505,0.8808586575540265,-0.07362950348161824,-0.10620828847862887,0.060977540899229056,-0.12793197204102472,-0.27297184324620877,0.008139010948190771,-0.009284494290276285,0.007359451831821929,0.3978492262794757,0.3923725841792077,0.777834815253041,-0.3571064229588006,0.6857423764236499
macd_hist,0.47373041477021277,0.38100433102686176,0.41093843907050354,0.16625832797330517,0.5595124018566592,0.5389826879033028,0.47184418713284865,0.2706339772541269,0.4045053330311792,1.0,0.054995287520617796,0.4847293926556664,-0.044402104491696404,-0.07708338329901519,-0.016646703329155303,0.0199557968827229,-0.0859560889845615,-0.012376566964261024,-0.03110493610081572,0.03326405058909855,0.21569853028719896,0.20458480560449396,0.3813035461717257,-0.15787058506783214,0.4371423687687172
bb_width_20,0.015684305522787587,-0.08214835648621352,-0.047122579034026946,-0.10036705973594731,-0.0803915335243049,-0.08213630559487595,-0.10619669722898924,-0.14090654820725151,-0.061048087518946505,0.054995287520617796,1.0,-0.03015904081412914,-0.03250306423645205,-0.0006413700900221506,0.013803034566874397,0.717207937943647,0.6733501763439779,-0.017800564732030837,-0.026901377766033182,0.035359481621977135,0.04005224012447502,0.02260928872821778,-0.5036392148351906,0.014236687293117818,0.4667456549516297
bb_position_20,0.7284025392036468,0.7008548293911824,0.844855524980049,0.6211442473482347,0.8682049871065307,0.84155300529606,0.8250829358652784,0.5448502461638309,0.8808586575540265,0.4847293926556664,-0.03015904081412914,1.0,-0.0826502788568379,-0.11985199941969145,0.030010028171004496,-0.05373372117900596,-0.20218210422166613,0.0025554802219116424,-0.02639924130638676,0.02485998478871768,0.42842697888394893,0.42775198892878186,0.7167988720026299,-0.41257412097217605,0.6683753369178975
volume_change_5d,-0.13427216661774288,-0.03771873731185559,-0.054573894394392565,-0.02917216823583308,-0.07605325380766162,-0.08147550320570351,-0.0880238612135209,-0.023859952308046925,-0.07362950348161824,-0.044402104491696404,-0.03250306423645205,-0.0826502788568379,1.0,0.79065484436897,0.24043068742334558,0.023835479331993478,0.00311185776499303,-0.034714770917154684,-0.008747659008273408,0.015070660300106993,0.09493414496413624,0.08868410031483549,-0.04123271364596814,0.18541487618172955,-0.08223991695804318
