,AGCO,ALLE,ALNY,AVB,BR,BURL,BWXT,CALM,CBOE,CMI,DGX,DOV,EWBC,EXR,FAF,FVRR,GGG,HIW,HOPE,HXL,IAC,IT,ITW,JBHT,KLAC,KMT,LAZ,LOGI,LPLA,MAA,MCK,MCO,MLI,MSI,MTB,NOC,NSA,NTES,PAYC,PNW,PWR,REG,REGN,ROK,ROP,RPM,SBAC,SF,SLG,SMG,SSB,TRIN,TXRH,UBSI,VMC,VRSN,WAB,WAL,WERN,YELP
DGX,0.20124390125432745,0.3207410815514204,0.12243636401450798,0.4345889692609235,0.2524225062633564,-0.02244864762763428,0.0102448614480118,0.13426384413802822,0.1752289799062139,0.09025976067186588,1.0,0.23018099278235948,0.110906652977042,0.3845573395502181,0.30398475028148075,0.002617381624213191,0.3419519744861024,0.23167963724473534,0.08202278774947998,0.07993447014697115,0.06253999020382499,0.1188151828590068,0.37053536261490116,0.126082038869822,0.05098942689018572,0.15933489169722148,0.16253713933139405,0.09601060274444498,0.004896185381204494,0.42485025212892097,0.2805518292315555,0.1761890948998292,0.15850056562113482,0.14527334591341348,0.19072338456722118,0.09437473345759978,0.2441110540602456,0.026619558273949993,0.20929199111419874,0.5016886181178345,-0.019182125736988003,0.407506675902018,0.13424496539185074,0.16957826924785457,0.22239576734082817,0.30494104148736373,0.3112097703237636,0.07047352426258562,0.17613825484775716,0.14658097795033748,0.1661682903362645,0.17145836076783885,0.1478020135047861,0.15022265793268533,0.1683470499333507,0.21113597270870155,0.2211961067152027,0.10560460452998671,0.06130402005292944,-0.015209703458075544
DOV,0.5878597831445813,0.48185041690064767,0.2617272284239597,0.49418487373230396,0.2799150248325163,0.4521122595381052,0.4293886108130136,0.17328403325074343,-0.15109531941800017,0.701909806723413,0.23018099278235948,1.0,0.6395127184724078,0.4064319124273442,0.4536983406845994,0.29838741669800223,0.7633711166337306,0.44718893734274234,0.5474384772065977,0.600364144919635,0.43694745202457874,0.23389600194024202,0.7529277616501714,0.563901864909945,0.5608335835832521,0.5959216822922315,0.6774836861843895,0.5563067796950697,0.4918576891492152,0.40759752419465733,0.021701068879841728,0.4737394424682369,0.5967072916964997,0.30663887930883343,0.6421249014443572,0.08244563427007245,0.3324831596595986,0.18094368074498668,0.29138198399834236,0.18736736908760612,0.4534352845392867,0.4520580228707251,0.274098072662993,0.6228205925686294,0.26554534789795925,0.6052539297398124,0.06548387733132888,0.6657672653814529,0.45449636874331545,0.471289423275823,0.5771816689449696,0.3791142206209327,0.41121063909236794,0.5848366810321602,0.5012204405760157,0.14454353543016524,0.7190478019614492,0.6007260776263776,0.467953914403482,0.23788288347039901
EWBC,0.4927254448858895,0.4145444817887786,0.19883963554706743,0.47052553598205116,0.28970238630051354,0.4200043933359678,0.2742502113651669,0.11730985263622791,-0.1444901284764902,0.5667903112144538,0.110906652977042,0.6395127184724078,1.0,0.34795977585780696,0.41690216412939546,0.3135625870614814,0.6109432929683208,0.5201770760483156,0.7967896951752361,0.49720643487084004,0.4912267582447524,0.2802692338026149,0.5881943708698653,0.41020435567410996,0.4585580636911321,0.49174732715878466,0.7154560370184502,0.5417188400018481,0.5183325516022971,0.3980869203681085,0.029905772515803956,0.46527510749601475,0.5487235235578592,0.23024745801768517,0.8475814198174774,0.023907922690875612,0.24188219946786493,0.13790412409673433,0.2891692315977508,0.14523447663147054,0.33375143645452193,0.4188185130278849,0.24122147235026237,0.5326809686221368,0.33973254334552844,0.4954134352875273,-0.05645795745061475,0.7742550791820234,0.5806561837301677,0.4721931760696922,0.8371792601544918,0.44125697297406147,0.36863110954693784,0.8228814912779715,0.4170914236634576,0.14634011398761895,0.6398100197264082,0.8731898549769452,0.4275369049775386,0.3406467903492598
EXR,0.3070479892232351,0.39661553245934267,0.09757964818322303,0.6655376930581774,0.2740253251366907,0.1857994166019612,0.15640434471614367,0.15020972090577453,0.12298447027013588,0.30307703891339194,0.3845573395502181,0.4064319124273442,0.34795977585780696,1.0,0.4311296473255982,0.07802201828480662,0.4931354452013825,0.5011280075333072,0.34286392914073727,0.3107595100717626,0.2554436090270015,0.14599502293482633,0.5317396032099585,0.3723408485976843,0.23473933432012367,0.33736824649629654,0.34577418365669793,0.228042249126876,0.15726580189546427,0.587335847832306,0.13911393954536658,0.28717081823872226,0.35104312088070444,0.2700839907514732,0.33670355147081904,0.20104097327401274,0.5773464780682255,0.152995577773077,0.28206700718258954,0.4209674985923731,0.10753786391699408,0.5880798683112238,0.2725100473010695,0.32656696506935273,0.31623957678469194,0.5324662000603823,0.41406038790827915,0.300044432657877,0.42975710528685857,0.37569649264751026,0.402084460715448,0.23295122162638593,0.3878075311041269,0.3689420919308304,0.327667260537901,0.12443192578346521,0.33838539239751886,0.3447187461893613,0.294802334216823,0.14322908393148204
FAF,0.33282473769459187,0.4359332136726696,0.17255114383773673,0.40034459089148283,0.3693425992030934,0.19974682041755468,0.17227265697573277,0.1601113385305363,0.13084211379722355,0.2668200426430994,0.30398475028148075,0.4536983406845994,0.41690216412939546,0.4311296473255982,1.0,0.2116834869125409,0.5098497368570495,0.40391728701407426,0.42427412031386985,0.3415342196450409,0.26075991248631136,0.18116806114380446,0.49393680608552104,0.3070451916041418,0.21808916081172386,0.3038361472609989,0.4740770918218952,0.26084129452576477,0.23642790280737253,0.4072604196380059,0.20428946657484925,0.40665186380199386,0.40806946111549697,0.2880271732013946,0.43475970254680246,0.11221904704420055,0.32089782047026905,0.16274644958954038,0.2648162956455026,0.3661870090093592,0.159288272873796,0.4353822455174714,0.1745557759078276,0.3119541157433497,0.27511996380461423,0.5443000299321944,0.19936240718294718,0.3943864961255097,0.3590718728169813,0.3134815394302466,0.4616541689033226,0.28689532278393926,0.2662701514746971,0.4510329075008527,0.4025168151510105,0.23895096854582673,0.36153096807045365,0.438848554999127,0.3087523773586144,0.16760253477767986
FVRR,0.1908531173022414,0.15287938319058114,0.11986860902651289,0.1512904380224601,0.20471587511687128,0.2339465434901391,0.1311124503794968,0.08900388715015888,-0.14345914250637062,0.2577860855748962,0.002617381624213191,0.29838741669800223,0.3135625870614814,0.07802201828480662,0.2116834869125409,1.0,0.22996796738665806,0.20634051920976046,0.2366673808377133,0.23540626922649946,0.3474766278073858,0.2864516883948429,0.17008644365013634,0.169519365257121,0.23392675362870333,0.1457695304691317,0.39202090939066403,0.2976936638332973,0.36817849094157634,0.1294324678058439,-0.07269771641038492,0.3138641048917311,0.3066065648999951,0.06583182880561436,0.3093486662558751,-0.12623646604933894,0.05127149318547231,0.1409433525441872,0.39801113779239916,-0.06414230852384298,0.20725077896471678,0.08686550613976746,-0.011345550750961617,0.40062782514600176,0.23896877704006525,0.18391066311118573,-0.043891947231194155,0.40242899105372737,0.27601612201231174,0.2260245708942754,0.3044101736138178,0.24281573171433518,0.17269249811894233,0.25449616874021846,0.24261959406626762,0.2182807670707428,0.19497037040010418,0.3311791961457271,0.1711803886699943,0.3216181856575484
GGG,0.6670554475856576,0.616993221669055,0.1834669333679379,0.5443952062579435,0.3562969675295236,0.3876705574719164,0.3144247448142436,0.2269889759339139,-0.020599792466088635,0.5901900457818464,0.3419519744861024,0.7633711166337306,0.6109432929683208,0.4931354452013825,0.5098497368570495,0.22996796738665806,1.0,0.5028888896428584,0.6095879493013486,0.5290484647633364,0.4196870388149843,0.24482749208448462,0.8416505231785488,0.5160770118267467,0.461782955897528,0.6022473136222697,0.6206368754164094,0.4927990184145648,0.3766184860165588,0.506522143652271,0.12909077472841465,0.4818159228625811,0.6043414199560256,0.35087327363485654,0.6310283823835492,0.18129131972526422,0.34128799733817966,0.2027655375876057,0.36014748120635565,0.35137925455533425,0.3029514985733879,0.5453739243653334,0.28830517732784444,0.5956057511575981,0.35918532468420106,0.6530938630885328,0.18502558217833537,0.5749055867261207,0.49462511950279153,0.49639024348214056,0.6105654653544178,0.3842648826816811,0.425422956186447,0.6401635575247068,0.5324336859674907,0.25956679007170375,0.6928264599039582,0.6176853813990509,0.5425933200135796,0.29460795610182
HIW,0.3736698320076386,0.388688874030011,0.1709309077303171,0.5864551327674812,0.2965006584269141,0.23623181755976702,0.1896284854640067,0.1910391773576315,0.036890708806982454,0.37003090497528746,0.23167963724473534,0.44718893734274234,0.5201770760483156,0.5011280075333072,0.40391728701407426,0.20634051920976046,0.5028888896428584,1.0,0.4752149655579537,0.31421649966004384,0.3610207315371078,0.19405505552636787,0.5121638907540323,0.3314289228603637,0.2521251680874224,0.35279800963266517,0.5056792827124044,0.39049160576367603,0.34347879349802896,0.566113423010058,0.06805592199282647,0.4155579607424026,0.3890927639343139,0.16112127330494316,0.4720015203114556,0.09183718900496206,0.39022444330125666,0.21981453957039582,0.3236830482251715,0.3343937727230103,0.1841038580689628,0.5395875926814041,0.2425129188796765,0.3714934038096934,0.3821172978220358,0.4297364576078133,0.1324066558117096,0.46329168129895565,0.7374682269187013,0.4137728497848208,0.5215636623439445,0.3697562832416736,0.3148722506034463,0.4826737442433819,0.37107462231238336,0.17272536275031128,0.40619813406293254,0.4965775033786055,0.3492207311130685,0.21395707681401036
HOPE,0.4406387007711121,0.4034709942574425,0.08174619270459303,0.39941201898734763,0.240071798616521,0.3479367164649077,0.23207586606431463,0.19847686211699042,-0.14043185509454637,0.4811956837435637,0.08202278774947998,0.5474384772065977,0.7967896951752361,0.34286392914073727,0.42427412031386985,0.2366673808377133,0.6095879493013486,0.4752149655579537,1.0,0.43760520333289943,0.41845596562990367,0.22295753047268418,0.5569565415597095,0.3798060185990949,0.38234935231317474,0.45758150550197807,0.5826979521636688,0.4530654484922466,0.3776005122995862,0.33128751067573164,0.02034297990060487,0.38942915819219015,0.48385136278789537,0.22722901262636896,0.7687667358045153,0.01941420332391333,0.2795850537033665,0.094203098301973,0.2557826126068363,0.2072194417211856,0.23681220786269716,0.3663143994589491,0.2269801923742011,0.4850935814741331,0.26229034504136034,0.4775076365918186,-0.00306091679081907,0.6127896195688326,0.5013324460184074,0.4532839677057227,0.8174655082498339,0.37548529842086725,0.2845245788853229,0.8721050416704496,0.3654291287109746,0.15187017274038392,0.5664575581289237,0.8098629671815465,0.4815318338152003,0.34451908763208505
HXL,0.471552110188536,0.3200257216424923,0.19292685394659959,0.3656821268684601,0.14503597927388992,0.38701475127140683,0.39639500068783956,0.11280602853028067,-0.16788854528966973,0.5409462950171163,0.07993447014697115,0.600364144919635,0.49720643487084004,0.3107595100717626,0.3415342196450409,0.23540626922649946,0.5290484647633364,0.31421649966004384,0.43760520333289943,1.0,0.31749634853998193,0.13966352253228084,0.520229855105015,0.36881976895488644,0.4920522953170539,0.4096891031193212,0.4734394926796599,0.46897226334412506,0.32103688998447166,0.2545530007599662,0.06388528315390295,0.3370270053017157,0.5240564025801301,0.20251141105531162,0.4770302160961123,0.27408756274720564,0.272091843424295,0.19606359412786833,0.18171275601657078,0.09175863330116193,0.3902545472527743,0.337273536552983,0.22190464299320564,0.4814973387648393,0.1195097186293076,0.4363954902905539,-0.060921476005297175,0.48899356504617103,0.33614252889285295,0.40459844109502013,0.45844271247840424,0.36271484834097184,0.38254926822756924,0.4592794994350254,0.38071720684203586,0.046153178801560044,0.55377752976096,0.501906745580789,0.3094367511379943,0.22562855982716953
